algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249712.0,249712.0,,249712.0,249712.0,249712.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
ECDSA,secp256r1,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249916.0,249916.0,,249916.0,249916.0,249916.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp256r1,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249780.0,249780.0,,249780.0,249780.0,249780.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
ECDSA,secp256r1,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249912.0,249912.0,,249912.0,249912.0,249912.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp384r1,0,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249916.0,249916.0,,249916.0,249916.0,249916.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp384r1,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249916.0,249916.0,,249916.0,249916.0,249916.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp384r1,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249812.0,249812.0,,249812.0,249812.0,249812.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
ECDSA,secp384r1,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249944.0,249944.0,,249944.0,249944.0,249944.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,2048,0,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249792.0,249792.0,,249792.0,249792.0,249792.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
RSA,2048,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249932.0,249932.0,,249932.0,249932.0,249932.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,2048,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249932.0,249932.0,,249932.0,249932.0,249932.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,2048,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249728.0,249728.0,,249728.0,249728.0,249728.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
RSA,4096,0,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249524.0,249524.0,,249524.0,249524.0,249524.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
RSA,4096,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249932.0,249932.0,,249932.0,249932.0,249932.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,4096,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249932.0,249932.0,,249932.0,249932.0,249932.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,4096,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249660.0,249660.0,,249660.0,249660.0,249660.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
