algorithm,key_size_or_curve,chain_depth,n_total,n_success,failure_rate,handshake_time_ms_mean,handshake_time_ms_median,handshake_time_ms_std,handshake_time_ms_min,handshake_time_ms_max,handshake_time_ms_p95,handshake_time_ms_cv,free_heap_bytes_mean,free_heap_bytes_median,free_heap_bytes_std,free_heap_bytes_min,free_heap_bytes_max,free_heap_bytes_p95,free_heap_bytes_cv,largest_free_block_bytes_mean,largest_free_block_bytes_median,largest_free_block_bytes_std,largest_free_block_bytes_min,largest_free_block_bytes_max,largest_free_block_bytes_p95,largest_free_block_bytes_cv,fragmentation_ratio_mean,fragmentation_ratio_median,fragmentation_ratio_std,fragmentation_ratio_min,fragmentation_ratio_max,fragmentation_ratio_p95,fragmentation_ratio_cv
ECDSA,secp256r1,0,1,1,0.0,1925.0,1925.0,,1925.0,1925.0,1925.0,,210972.0,210972.0,,210972.0,210972.0,210972.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.476,0.476,,0.476,0.476,0.476,
ECDSA,secp256r1,1,1,1,0.0,2282.0,2282.0,,2282.0,2282.0,2282.0,,211516.0,211516.0,,211516.0,211516.0,211516.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.477,0.477,,0.477,0.477,0.477,
ECDSA,secp256r1,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249756.0,249756.0,,249756.0,249756.0,249756.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
ECDSA,secp256r1,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249960.0,249960.0,,249960.0,249960.0,249960.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp384r1,0,1,1,0.0,1972.0,1972.0,,1972.0,1972.0,1972.0,,210900.0,210900.0,,210900.0,210900.0,210900.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.476,0.476,,0.476,0.476,0.476,
ECDSA,secp384r1,1,1,1,0.0,2874.0,2874.0,,2874.0,2874.0,2874.0,,211396.0,211396.0,,211396.0,211396.0,211396.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.477,0.477,,0.477,0.477,0.477,
ECDSA,secp384r1,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249960.0,249960.0,,249960.0,249960.0,249960.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
ECDSA,secp384r1,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249960.0,249960.0,,249960.0,249960.0,249960.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,2048,0,1,1,0.0,842.0,842.0,,842.0,842.0,842.0,,210604.0,210604.0,,210604.0,210604.0,210604.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.475,0.475,,0.475,0.475,0.475,
RSA,2048,1,1,1,0.0,817.0,817.0,,817.0,817.0,817.0,,210032.0,210032.0,,210032.0,210032.0,210032.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.474,0.474,,0.474,0.474,0.474,
RSA,2048,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249944.0,249944.0,,249944.0,249944.0,249944.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
RSA,2048,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249740.0,249740.0,,249740.0,249740.0,249740.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
RSA,4096,0,1,1,0.0,1526.0,1526.0,,1526.0,1526.0,1526.0,,209544.0,209544.0,,209544.0,209544.0,209544.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.472,0.472,,0.472,0.472,0.472,
RSA,4096,1,1,1,0.0,1623.0,1623.0,,1623.0,1623.0,1623.0,,208268.0,208268.0,,208268.0,208268.0,208268.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.469,0.469,,0.469,0.469,0.469,
RSA,4096,2,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249772.0,249772.0,,249772.0,249772.0,249772.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.557,0.557,,0.557,0.557,0.557,
RSA,4096,3,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,249976.0,249976.0,,249976.0,249976.0,249976.0,,110580.0,110580.0,,110580.0,110580.0,110580.0,,0.558,0.558,,0.558,0.558,0.558,
